,date,id,female,age,income_total,income_current,income_labor,urban,edu_year
0,2023-03-01,10,True,52,2600000.0,2600000.0,1100000.0,True,18
1,2023-03-01,15,True,31,2066013.0,2066013.0,2066013.0,True,16
2,2023-03-01,17,False,62,3500000.0,3500000.0,3500000.0,True,9
3,2023-03-01,18,True,65,1895290.0,1895290.0,1280000.0,True,9
4,2023-03-01,26,False,29,4390386.0,4343862.0,4077195.0,True,16
5,2023-03-01,28,False,43,6097396.0,6097396.0,6097396.0,True,16
6,2023-03-01,39,False,43,4120655.0,3625565.0,2795565.0,True,14
7,2023-03-01,40,False,37,2945600.0,2945600.0,2377600.0,True,16
8,2023-03-01,45,False,36,4073377.0,4073377.0,3830000.0,True,14
9,2023-03-01,47,True,26,4861623.0,4861623.0,4861623.0,True,16
10,2023-03-01,53,True,40,10381720.0,10381720.0,7162795.0,True,16
11,2023-03-01,57,False,63,3514854.0,3514854.0,2868823.0,True,14
12,2023-03-01,60,False,68,5391870.0,5391870.0,1500000.0,True,16
13,2023-03-01,66,True,21,2251037.0,2251037.0,2250000.0,True,14
14,2023-03-01,84,True,55,3760000.0,3760000.0,3360000.0,True,12
15,2023-03-01,90,True,63,2073500.0,2073500.0,2071000.0,True,12
16,2023-03-01,96,False,28,2500000.0,2500000.0,2500000.0,True,16
17,2023-03-01,101,False,25,2746000.0,2746000.0,2746000.0,True,12
18,2023-03-01,103,True,27,19466016.0,19466016.0,18866016.0,True,16
19,2023-03-01,112,False,55,1447395.0,1447395.0,1447395.0,True,12
20,2023-03-01,114,False,37,3000000.0,3000000.0,3000000.0,True,16
21,2023-03-01,115,True,22,1647757.0,1623558.0,1323558.0,True,14
22,2023-03-01,122,True,34,2455920.0,2455920.0,2455920.0,True,16
23,2023-03-01,123,True,34,2563760.0,2563760.0,2563760.0,True,16
24,2023-03-01,124,True,67,663183.0,663183.0,340003.0,True,6
25,2023-03-01,126,True,31,3456880.0,3456880.0,3456880.0,True,16
26,2023-03-01,136,False,64,2153400.0,2153400.0,320000.0,True,16
27,2023-03-01,141,False,57,7654916.0,7654916.0,7654916.0,True,16
28,2023-03-01,153,True,34,5432000.0,5432000.0,5092000.0,True,16
29,2023-03-01,154,False,26,3273333.0,3273333.0,2973333.0,True,16
30,2023-03-01,155,False,30,2665263.0,2636700.0,2518300.0,True,14
31,2023-03-01,156,True,26,2107794.0,2107794.0,2107794.0,True,14
32,2023-03-01,158,False,23,750001.0,750001.0,750000.0,True,12
33,2023-03-01,159,False,55,3514920.0,3514920.0,3305207.0,True,12
34,2023-03-01,163,True,28,1290000.0,1243000.0,1243000.0,True,16
35,2023-03-01,169,True,22,1678990.0,1678990.0,1678990.0,True,14
36,2023-03-01,172,False,61,1961500.0,1961500.0,1961500.0,True,12
37,2023-03-01,173,True,31,2049956.0,2049956.0,2049956.0,True,16
38,2023-03-01,179,True,60,1684680.0,1684680.0,1100000.0,True,12
39,2023-03-01,185,False,43,4010402.0,3738736.0,3661594.0,True,16
40,2023-03-01,187,True,62,3144589.0,2605077.0,2489667.0,True,9
41,2023-03-01,188,True,65,2420467.0,2420467.0,1146593.0,True,9
42,2023-03-01,190,True,79,1441110.0,1441110.0,100000.0,True,6
43,2023-03-01,194,True,57,2478244.0,2478244.0,1713050.0,True,16
44,2023-03-01,196,False,28,2600000.0,2600000.0,2600000.0,True,14
45,2023-03-01,201,True,25,2913967.0,2913967.0,2913967.0,True,16
46,2023-03-01,202,False,73,5161000.0,5111000.0,5100000.0,True,16
47,2023-03-01,206,True,25,2852150.0,2600000.0,2600000.0,True,16
48,2023-03-01,211,False,29,4871377.0,4704710.0,4704710.0,True,14
49,2023-03-01,226,True,62,1962290.0,1962290.0,1444920.0,True,9
50,2023-03-01,231,True,70,793180.0,793180.0,270000.0,True,12
51,2023-03-01,243,False,64,4921440.0,4921440.0,4045630.0,True,16
52,2023-03-01,244,True,77,1189847.0,1189847.0,500000.0,True,0
53,2023-03-01,261,False,63,1334430.0,1334430.0,1100000.0,True,6
54,2023-03-01,266,True,80,2030747.0,2030747.0,270000.0,True,6
55,2023-03-01,277,False,45,2393769.0,2376299.0,2129419.0,True,16
56,2023-03-01,279,False,63,1546920.0,1543800.0,1500000.0,True,6
57,2023-03-01,280,True,30,4095437.0,4095437.0,4095437.0,True,16
58,2023-03-01,281,False,28,3022720.0,3022720.0,2964037.0,True,16
59,2023-03-01,282,False,26,2814333.0,2814333.0,2814333.0,True,16
60,2023-03-01,283,False,23,1164280.0,1164280.0,330947.0,True,16
61,2023-03-01,284,True,26,1272935.0,1272935.0,1272935.0,True,16
62,2023-03-01,285,False,32,2548334.0,2548334.0,2548334.0,True,16
63,2023-03-01,286,True,24,2000812.0,2000812.0,2000812.0,True,16
64,2023-03-01,290,False,44,6635000.0,6635000.0,6635000.0,True,16
65,2023-03-01,299,True,48,2966948.0,2966948.0,2933750.0,True,16
66,2023-03-01,308,False,30,4878320.0,4878320.0,4878320.0,True,14
67,2023-03-01,318,False,27,2947000.0,2947000.0,2947000.0,True,12
68,2023-03-01,321,False,32,4476379.0,4396379.0,4025535.0,True,16
69,2023-03-01,323,False,29,7189950.0,7189950.0,7147950.0,True,12
70,2023-03-01,324,False,29,5246360.0,5246360.0,5246360.0,True,16
71,2023-03-01,325,False,31,4506667.0,4506667.0,4506667.0,True,16
72,2023-03-01,344,False,34,8790025.0,8233775.0,7641200.0,True,14
73,2023-03-01,358,False,22,1464225.0,1464225.0,1464225.0,True,12
74,2023-03-01,360,False,32,3357605.0,3000000.0,3000000.0,True,14
75,2023-03-01,361,True,32,4699615.0,4660615.0,4484725.0,True,16
76,2023-03-01,366,False,30,3750000.0,3750000.0,3750000.0,True,9
77,2023-03-01,367,True,28,3534785.0,3534785.0,3534785.0,True,16
78,2023-03-01,370,True,46,4810193.0,4444193.0,4019783.0,True,12
79,2023-03-01,371,True,28,2988353.0,2988353.0,2988353.0,True,16
80,2023-03-01,375,True,33,8884650.0,8884650.0,8884650.0,True,16
81,2023-03-01,379,True,34,4477139.0,4477139.0,3458334.0,True,16
82,2023-03-01,381,False,31,5445717.0,5445717.0,5012383.0,True,16
83,2023-03-01,396,False,35,5208358.0,5208358.0,5208358.0,True,14
84,2023-03-01,398,True,28,4315130.0,4315130.0,4315130.0,True,14
85,2023-03-01,400,True,33,4640951.0,4640951.0,3587481.0,True,14
86,2023-03-01,403,False,25,3300311.0,3300311.0,3200050.0,True,12
87,2023-03-01,408,False,42,3166667.0,3166667.0,3166667.0,True,12
88,2023-03-01,410,True,52,3100000.0,3100000.0,3100000.0,True,16
89,2023-03-01,411,True,34,3500000.0,3500000.0,3500000.0,True,16
90,2023-03-01,418,False,55,4660263.0,4226930.0,4022663.0,True,12
91,2023-03-01,419,True,42,3750000.0,3750000.0,3750000.0,True,14
92,2023-03-01,430,True,32,5312101.0,5312101.0,5312101.0,True,16
93,2023-03-01,431,False,41,2843450.0,2843450.0,2843450.0,True,16
94,2023-03-01,432,False,34,9144535.0,8802987.0,8235633.0,True,16
95,2023-03-01,433,True,40,2598167.0,2506500.0,2496300.0,True,16
96,2023-03-01,435,False,30,9040803.0,9040803.0,9040803.0,True,16
97,2023-03-01,436,False,27,2000000.0,2000000.0,2000000.0,True,16
98,2023-03-01,448,False,29,2980000.0,2980000.0,2980000.0,True,16
99,2023-03-01,449,True,25,2760000.0,2760000.0,2760000.0,True,16
100,2023-03-01,460,True,63,2236389.0,2236389.0,2236389.0,True,9
101,2023-03-01,463,True,27,1944133.0,1944133.0,1944133.0,True,14
102,2023-03-01,464,True,26,2726821.0,2726821.0,2610787.0,True,18
103,2023-03-01,465,True,29,1714943.0,1714943.0,1048276.0,True,16
104,2023-03-01,466,True,20,1222644.0,1222644.0,149311.0,True,14
105,2023-03-01,477,True,52,10126197.0,10026197.0,1615910.0,True,16
106,2023-03-01,480,False,43,2101820.0,2101820.0,2100000.0,True,16
107,2023-03-01,481,False,32,1510000.0,1510000.0,1510000.0,True,16
108,2023-03-01,482,True,52,2050000.0,2050000.0,2050000.0,True,6
109,2023-03-01,483,True,28,4160683.0,4160683.0,4160683.0,True,16
110,2023-03-01,485,True,39,2713016.0,2713016.0,2713016.0,True,16
